project_name,implementing_agency,brief_description,expected_output,location,contractor,procurement_mode,funding_source,approved_budget,start_date,end_date,physical_accomplishment,financial_accomplishment,remarks,status,project_type
,,,2 Batches of Fundamentals of Cooperatives,Iloilo ,,SVP,Gen. Fund,187000.0,April ,October ,,,,unknown,Non-Infrastructure
,,,2 Batches of Governance & Management of Cooperatives ,Iloilo ,,SVP,Gen. Fund,187000.0,April ,October ,,,,unknown,Non-Infrastructure
,,,Coop Youth Congress ,Iloilo ,,SVP,Gen. Fund,554000.0,May ,,,,,unknown,Non-Infrastructure
,,,DRRM Training for Cooperatives,Iloilo,,SVP,Gen.Fund,34000.0,June,,,,,unknown,Non-Infrastructure
,,,Business Continuity  Training,Iloilo,,SVP,Gen. Fund,51000.0,August,,,,,unknown,Non-Infrastructure
,,,2 Batches of Development Trainings for Transport Cooperatives ,Iloilo,,SVP,Gen. Fund,170000.0,March,November,,,,unknown,Non-Infrastructure
,,,Capability Enhancement Training,Iloilo,,SVP,Gen. Fund,104000.0,January ,December ,,,,unknown,Non-Infrastructure
,,,CDO (LCDOP ILOILO) Enhancement Training Seminar,Iloilo,,SVP,Gen. Fund,208000.0,January ,December ,,,,unknown,Non-Infrastructure
,,,Gender and Development Training,Iloilo,,SVP,Gen. Fund,34000.0,March,,,,,unknown,Non-Infrastructure
II. Organizational Development & Coop Promotion,PCDO,Cooperative strengthening  and cooperative development promotion activities,Coop Congress & Trade Fair and Exhibits,Iloilo,,SVP,Gen. Fund,135000.0,September,October ,,,,unknown,Non-Infrastructure
,,,4 Quarters IPCDC Meeting,Iloilo,,SVP,Gen. Fund,216000.0,January ,December ,,,,unknown,Non-Infrastructure
,,,Iloilo Transport Coop Congress,Iloilo,,SVP,Gen. Fund,135000.0,April ,May,,,,unknown,Non-Infrastructure
III. Provincial Livelihood Project Fund (PLPF) Management,PCDO,Fund to finance viable and economically feasible income generating projects of cooperatives/associations,# of Loans released to qualified PLPF applicants ,Iloilo,,,Gen. Fund,6000000.0,January ,December ,,,,unknown,Non-Infrastructure
IV. Mangunguma Sapnayon: Palay Price Support Program,PCDO,Fund to finance palay trading,sales and purchase orders monitored,Iloilo,,,Gen. Fund,6000000.0,January ,December ,,,,unknown,Non-Infrastructure
,PCDO,Transfer of fund to government financial isntitutions as trust/surety funds for cooperative small and micro enterprises,100% Utilization of Trust/ Surety Fund,Iloilo,,,Gen. Fund,2000000.0,January ,December ,,,,unknown,Non-Infrastructure
VI. Capital Outlay,PCDO,Purchase of Office vehicle,Office vehicle,Iloilo,,Bidding,Gen. Fund,2100000.0,January ,December ,,,,unknown,Non-Infrastructure
1. Updates on Mental Health and Substance Abuse,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Updates for the Provincial Implementation Team,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
3. Training on 4Rs,PHO,board and lodging,activity conducted ,Iloilo City / Iloilo Province,,,,100500.0,,,,,PR on process,procurement,Non-Infrastructure
4. Strengthening Adolescent Health through RPRH Integrated Services and its Reproductive Health and Rigths,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,49000.0,,,,,PR on process,procurement,Non-Infrastructure
5. Updates on Provincial Local AIDS Council,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
6. Orientationn / HIV 101 to HIV Kep Population,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,60000.0,,,,,PR on process,procurement,Non-Infrastructure
7. Training on Brief Tobacco Intervention,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
8. Updates on Tobacco Control Program,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,45000.0,,,,,PR on process,procurement,Non-Infrastructure
9. Updates and Consultative Meeting for IPG Smoke-Free / Vape-Free Task Force & Enforcers,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,45000.0,,,,,PR on process,procurement,Non-Infrastructure
10. Updates on Blood Program (Ensuring na Safe Blood Supply through Donor Screening Training),PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
11. Healthy Eating Habits and Food Label Reading Orientation,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,22500.0,,,,,PR on process,procurement,Non-Infrastructure
12. Provincial Nutrition Committee (PNC)/ Provincial Nutrition Technical Working Group (PNCTWG) Quarterly Meeting,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
13. Monitoring and Evaluation of the Local Level Plan Implementation and Culminating Activity,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
14. Skills Training Course on Progestin-Only Subdermal Implant (PSII Insertion and Removal,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
15. Health Celebration and Promotions on Various Health Programs,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
Sub-total,,,,,,,,892000.0,0,0,0,0,,unknown,Non-Infrastructure
1. Dental Updates and Concultative Meeting (Oral Health Program and FHSIS Indicators),PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Training on Newborn Screening,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,183000.0,,,,,PR on process,procurement,Non-Infrastructure
3. National Immunization and Newborn Screening Program Orientation for Health Care Providers,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
4. Maternal Death Review,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
5. Post Training Evaluation on Progestin-Only Subdermal Implant (PSI) Insertion and Removal),PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,35000.0,,,,,PR on process,procurement,Non-Infrastructure
"6. Comprehensive Refresher Mastering Partographs, WRA Tracking and Emergency Birth Plans",PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
7. Monitoring and Evaluationof the Local Level Plan Implementation,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,30000.0,,,,,PR on process,procurement,Non-Infrastructure
8. Nutrition Program Implementation Review (PIR) for Municipal Nutrition Action Officer and Municipal Nutrition Coordination,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,25000.0,,,,,PR on process,procurement,Non-Infrastructure
9. Municipal NutritionAction Officer Consultation and Nutrition Program Updates,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,20000.0,,,,,PR on process,procurement,Non-Infrastructure
10. EmpoweringCommunities for Optimal Breastfeeding,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,25000.0,,,,,PR on process,procurement,Non-Infrastructure
11. Updates on Food Fortification and Iron Fortified Rice Promotion,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,22500.0,,,,,PR on process,procurement,Non-Infrastructure
12. Empowering Communities for Optimal Breastfeeding,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,10000.0,,,,,PR on process,procurement,Non-Infrastructure
13. Farm to Plate: Promoting Local and Nutrition Food and Pinggag Pinoy through Nutrition Education and Food Demonstration,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,22500.0,,,,,PR on process,procurement,Non-Infrastructure
14. Strengthening Local Nutrition Governance through the Reactivation of the Municipal NutritionCommittee,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,15000.0,,,,,PR on process,procurement,Non-Infrastructure
15. Nutrition Summit and Recognition (Pasidungog),PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
16. Training on Infant and Young Chjild Feeding (IYCF) for Health Service Providers,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,126000.0,,,,,PR on process,procurement,Non-Infrastructure
17. Strengtehning Local Capacities for Nutrition Improvement: Nutrition Month 2026 Activity,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,21000.0,,,,,PR on process,procurement,Infrastructure
1. Updates and consultative meeting on National Tuberculosis Program,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,70000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Regular Updates with PRCC,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,48000.0,,,,,PR on process,procurement,Non-Infrastructure
3. Updates on NRPC for ABTC Managers,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
4. Updates on P.D. 856 and Dengue Vector Surveillance,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,60000.0,,,,,PR on process,procurement,Non-Infrastructure
5. Updates on Infectious Program and PIR,PHO,catering services,bord and lodging,Iloilo City / Iloilo Province,,,,175000.0,,,,,PR on process,procurement,Non-Infrastructure
1. Orientation and Updates on PhilPEN,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Updates on Noncommunicable Disease Program,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
3. Noncommunicable Disease Program Implementation Review,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
4. Orientation and Updates on Road Safety and Violence and Injury prevention Program (VIPP) with Vehicle Extrication Awareness Level,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Infrastructure
"5. Updates on Visual Acuity Screening, Geriatric wellness, and Disability Assessment",PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
Sub-total,,,,,,,,1518000.0,,,,,,unknown,Non-Infrastructure
"1.a. ABC Kits for GIDA (aluminum hydroxide 
    + magnesium hydroxide, amlodipine, etc.)",PHO,various drugs and medicines,various drugs and medicines purchased,Iloilo City / Iloilo Province,,,,3200000.0,,,,,PR on process,procurement,Non-Infrastructure
,,Diabetis Milletus Drugs,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,300000.0,,,,,PR on process,procurement,Non-Infrastructure
,,"Food and Waterborne Medicine ( Zinc, metodinazole, azithromycin, etc)",drugs and medicines purchased,Iloilo City / Iloilo Province,,,,1000000.0,,,,,PR on process,procurement,Non-Infrastructure
"1.b. Noncommunicable Disease (Insulin  
    humulin 70/30)",PHO,various drugs and medicines,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,450000.0,,,,,PR on process,procurement,Non-Infrastructure
"1.c. Family Health Drugs and Medicines
     (NSMP-Ferrous Salt)",PHO,various drugs and medicines,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,200000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,NSMP - Tetanus Toxoid,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,Family Planning - Medroxyprogesterone 150mg/ml,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,599976.0,,,,,PR on process,procurement,Non-Infrastructure
"1.d. Infectious Diseases Drugs and 
      Medicines (Isoniazid 75mg + Rifampicin 
      150mg + Pyrazinamide 400mg+Ethambutol 
      275mg",PHO,various drugs and medicines,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,390000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,Isoniazid 75mg + Rifampicin 150mg,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,599995.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,STI/HIV/AIDS (Azithromycin 500mg/tab (Tablet) & Cefixime 200 mg/cap (capsule),drugs and medicines purchased,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,Helminth-albendazole 400mg,drugs and medicines purchased,Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,EREID (Doxycycline capsule),drugs and medicines purchased,Iloilo City / Iloilo Province,,,,180000.0,,,,,PR on process,procurement,Non-Infrastructure
"2.a Various drugs and meds for Mental 
    Health",PHO,"purchase of Carbamazepine 200mg, Divalproex sodium 500mg, clozapine 100mg, Olanzapine 10mg, Escitalopram 10mg, Levetiracetam 500mg",various drugs and medicines purchased,Iloilo City / Iloilo Province,,,,449997.14,,,,,PR on process,procurement,Non-Infrastructure
"3.a Various drugs and meds for Mental 
    Health",PHO,"purchase of amlodipine 5mg tablet, 10mg tablet, losartan 50mg, 100mg tablet",various drugs and medicines purchased,Iloilo City / Iloilo Province,,,,4000000.0,,,,,PR on process,procurement,Non-Infrastructure
"4.a. ABC Kits for GIDA (GIDA Kits -energy 
    box with supplies and materials)",PHO,purchase of various medical and laboratory supplies,various medical and laboratory supplies purchased,Iloilo City / Iloilo Province,,,,3000000.0,,,,,PR on process,procurement,Non-Infrastructure
"4.b. Noncommunicable Diseases (Insulin 
     syringe)",PHO,purchase of various medical and laboratory supplies,various medical and laboratory supplies purchased,Iloilo City / Iloilo Province,,,,270000.0,,,,,PR on process,procurement,Non-Infrastructure
"4.c. Family Planning and Oral Health - NIP 
    (cotton balls, syringe with needle, alcohol)",PHO,purchase of various medical and laboratory supplies,various medical and laboratory supplies purchased,Iloilo City / Iloilo Province,,,,300000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of Oral Health Kit (500 packs),Oral Health Kit (500 packs) purchased,Iloilo City / Iloilo Province,,,,450000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of Fouride varnish (155kits),Fouride varnish (155kits) purchased,Iloilo City / Iloilo Province,,,,542500.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of Family Health Kits (300kits),Family Health Kits (300kits) purchased,Iloilo City / Iloilo Province,,,,120000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of Maternal & Newborn Kits (200 kits),Maternal & Newborn Kits (200 kits) purchased ,Iloilo City / Iloilo Province,,,,78750.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of NBSP - expanded NBS kits,NBSP - expanded NBS kits purchased,Iloilo City / Iloilo Province,,,,612500.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,purchase of Drug Testing Kits,Drug Testing Kits purchased ,Iloilo City / Iloilo Province,,,,145000.0,,,,,PR on process,procurement,Non-Infrastructure
"4.d. Infectious Diseases - PESU various 
       medical and laboratory supplies for 
      distribution",PHO,purchase of various medical and laboratory supplies,various medical and laboratory supplies purchasd ,Iloilo City / Iloilo Province,,,,446250.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,Dengue - Dengue duo,Dengue - Dengue duo purchased,Iloilo City / Iloilo Province,,,,450000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,STI/HIV/AIDS - HBsAg Rapid Diagnostic Test Kits (30s/box),STI/HIV/AIDS - HBsAg Rapid Diagnostic Test Kits (30s/box) purchased,Iloilo City / Iloilo Province,,,,135000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,STI/HIV/AIDS - Syphilis 3.0 Rapid Diagnostic Test Kits (30s/box),STI/HIV/AIDS - Syphilis 3.0 Rapid Diagnostic Test Kits (30s/box) purchased,Iloilo City / Iloilo Province,,,,135000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,"NTP - specimen cup, glass slides , AFB stain, giema stain, blood, lancet","NTP - specimen cup, glass slides , AFB stain, giema stain, blood, lancet purchased",Iloilo City / Iloilo Province,,,,720000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,syringes for rabies program,syringes for rabies program purchased,Iloilo City / Iloilo Province,,,,88500.0,,,,,,unknown,Non-Infrastructure
5. Purchase of water testing kits for distribution to LGUs to ensure households access to safely managed drinking water services,PHO,purchase of chromogenic substrate for total and fecal colliform test of drinking water,chromogenic substrate for total and fecal colliform test of drinking water  purchased,Iloilo City / Iloilo Province,,,,449760.0,,,,,PR on process,procurement,Non-Infrastructure
6. Purchase of supplies for aedes vector borne prevention and control program for distribution to LGUs,PHO,purchase of Cypermethrin,Cypermetrine purchased,Iloilo City / Iloilo Province,,,,448400.0,,,,,PR on process,procurement,Non-Infrastructure
7. Purchase of additional toilet bowl and accessories in suppport to ZOD-G2 for distribution to LGUs,PHO,purchase of toilet bowls and accessories,toiet bowls and accessories purchased ,Iloilo City / Iloilo Province,,,,5000000.0,,,,,PR on process,procurement,Non-Infrastructure
8. Provision of Technical Assistance (TA) and monitoring of LGUs,PHO,Provision of TA and monitoring of LGUs,TA and monitoring of LGUs provided,Iloilo City / Iloilo Province,,,,2000000.0,,,,,PR on process,procurement,Non-Infrastructure
9. Purchase of Augmentation Support to Nutrition Program Implementation (Various Food Supplies),PHO,Purchase of Augmentation Support to Nutrition Program Implementation (Various Food Supplies),Augmentation Support to Nutrition Program Implementation (Various Food Supplies) purchased,Iloilo City / Iloilo Province,,,,5000000.0,,,,,PR on process,procurement,Non-Infrastructure
10. Purchase of drugs and Medicines for PHO Operations (various drugs and medicines),PHO,"purchase of Amoxicillian, et. Al","Amoxicillian, et. Al purchased",Iloilo City / Iloilo Province,,,,800000.0,,,,,PR on process,procurement,Non-Infrastructure
,PHO,"purchase of Ascorbic Acid, Citamin b1 + Vitamin B12 + Vitamin B6","Ascorbic Acid, Citamin b1 + Vitamin B12 + Vitamin B7 purchased",Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
"11.a. Vaccine, rabies chick embryo cell 2.5 
      IU powder for injection vial+1ml diluent 
      (purified inactivated)",PHO,"purchase of Vaccine, rabies chick embryo cell 2.5 IU powder for injection vial+1ml diluent (purified inactivated)","Vaccine, rabies chick embryo cell 2.5 IU powder for injection vial+1ml diluent (purified inactivated) purchased",Iloilo City / Iloilo Province,,,,3498600.0,,,,,PR on process,procurement,Non-Infrastructure
"11.b. Anti-rabies serum 200 IU/ml, 5ml   
      solution for injection vial (equine)",PHO,"purchase of Anti-rabies serum 200 IU/ml, 5ml solution for injection vial (equine)","Anti-rabies serum 200 IU/ml, 5ml solution for injection vial (equine) purchased",Iloilo City / Iloilo Province,,,,1000000.0,,,,,PR on process,procurement,Non-Infrastructure
12. Purchase of Augmentation Support for Mental Health and Substance Abuse Program Implementation (Anti-Illegal Drugs and Medicines),PHO,"purchase of Vitamin C and Vitamin B1, B6, B12","Vitamin C and Vitamin B1, B6, B13 purchased",Iloilo City / Iloilo Province,,,,90000.0,,,,,PR on process,procurement,Non-Infrastructure
"13. Purchase of Medical, dental and Laboratory Supplies for PHO Programs",PHO,purchase of Cyphermetrin,Cyphermetrin purchased,Iloilo City / Iloilo Province,,,,700000.0,,,,,PR on process,procurement,Non-Infrastructure
,,purchase of Dengue Duo,Dengue Duo purchased,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
Sub-total,,,,,,,,38330228.14,,,,,,unknown,Non-Infrastructure
1.Quad Media Campaigns on Various Health Programs (Advertising),PHO,purchase of Calendar of health celebrations (Table Top 2027),Calendar of health celebrations (Table Top 2027) purchased,Iloilo City / Iloilo Province,,,,270000.0,,,,,PR on process,procurement,Non-Infrastructure
,,Radio Pluggings (All programs-150 slots),Radio Pluggings (All programs-150 slots),Iloilo City / Iloilo Province,,,,180000.0,,,,,PR on process,procurement,Non-Infrastructure
Sub Total,,,,,,,,450000.0,,,,,,unknown,Non-Infrastructure
1. Pla and Budget Utilization Review 2025,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,56000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Updates and Meeting of the Phramacy and Therapeutics Committee,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
"3. Updates on Human Resource for Health 
    Management and Development",PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,50000.0,,,,,PR on process,procurement,Non-Infrastructure
4. Province-wide Telemedicine Training,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
5. FHSIS Data Validation and Reconciliation Workshop,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
6. Updates on case Definitions of Mandatory Notifiable Diseases for Health Workers / Personnel for the Province of Iloilo,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,89600.0,,,,,PR on process,procurement,Non-Infrastructure
Sub Total,,,,,,,,445600.0,0,0,0,0,0,other,Non-Infrastructure
"1. Pasidungog (Prizes)
    Health Excellence and Leadership (HEAL) 
    Awards Ceremony 2026",PHO,catering services and other operating expenses,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
2. Provincial Health Board Meetings,PHO,catering services,activity conducted ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
Sub Total,,,,,,,,200000.0,,,,,,unknown,Non-Infrastructure
"Medical, Dental & Laboratory Supplies Expenses",PHO,"Medical, Dental & Laboratory Supplies Expenses","Medical, Dental & Laboratory Supplies Expenses paid",Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
"Purchase of fuel, oil and lubricants",PHO,"fuel, oil, lubricants",various purchased ,Iloilo City / Iloilo Province,,,,1700000.0,,,,,PR on process,procurement,Non-Infrastructure
Purchase of Other supplies and expenses,PHO,"various supplies (Air freshener, et. al.- house keeping supplies)",various supplies purchased  and other expenses paid,Iloilo City / Iloilo Province,,,,1500000.0,,,,,PR on process,procurement,Non-Infrastructure
Telephone Expenses,PHO,telephone expenses,telephone expenses paid,Iloilo City / Iloilo Province,,,,1399000.0,,,,,PR on process,procurement,Non-Infrastructure
Internet Subscription Expenses,PHO,internet fees,continous internet subscription paid,Iloilo City / Iloilo Province,,,,78000.0,,,,,PR on process,procurement,Non-Infrastructure
Advertising Expenses,PHO,IEC matertials vor various health programs,IEC matertials vor various health programs paid,Iloilo City / Iloilo Province,,,,75000.0,,,,,PR on process,procurement,Non-Infrastructure
Subscription Expenses,PHO,Subscription fees,Subscription fees paid,Iloilo City / Iloilo Province,,,,15000.0,,,,,PR on process,procurement,Non-Infrastructure
Repair and maintenance of transportation equipment,PHO,repair and maintenance expenses,vehicle repaired and maintained ,Iloilo City / Iloilo Province,,,,500000.0,,,,,PR on process,procurement,Infrastructure
Repair and maintenance of furnitures and fixtures,PHO,repair and maintenance expenses,furniture and fixtures repaired and maintained ,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Infrastructure
Insurance Expenses,PHO,insurance fees,insurance expenses paid,Iloilo City / Iloilo Province,,,,100000.0,,,,,PR on process,procurement,Non-Infrastructure
Other maintenance and operating expenses,PHO,various maintenance and operating expenses,various maintenance and operating expenses paid,Iloilo City / Iloilo Province,,,,600000.0,,,,,PR on process,procurement,Infrastructure
Sub Total,,,,,,,,6167000.0,,,,,,unknown,Non-Infrastructure
Grand Total,,,,,,,,48002828.14,,,,,,unknown,Non-Infrastructure
"A. Provision of Technical Assistance to C/MLGUs including but not limited to the conduct of capacity building on the development and/or enhancement of systems, policies and plans through trainings and similar activities to enhance business friendliness and competitiveness and other similar activities",OLEDIPO,Provision of technical assistance and capacity building activities as requested by LGUs and Groups,4 coordination meetings and technical assistance conducted and/or provided,Iloilo,,NP SV,Gen. Fund,250000.0,January,December,,,,unknown,Infrastructure
"A. Provision of capacity development training, technical assistance, organizational development and strengthening, and needs assessment  to various Micro, Small and Medium Enterprises and industry groups",OLEDIPO,"Conduct of entrepreneurship, business development-related trainings, product development, value addition/ skills training for women, youth, IPs and other sectors","10 activities for food and non-food sectors and industry development
200MSMEs assisted and provided with technical assistance",Iloilo,,NP SV,Gen. Fund,150000.0,January,December,,,,unknown,Non-Infrastructure
"B. Provision of support to MSMEs' participation in local and national marketiang events - trade fairs, exhibits, food festivals, business tie-ups and similar market exposure and linkage activities including but not limited to display module fabrication, purchase of inventory equipment, supplies and materials and event management services",OLEDIPO,"Trade fairs/Marketing events organized and/or participated in;
MSMEs assisted;
Exhibit modules procured","5 trade fairs/marketing events organized and/or participated in
 ",,,,,,January,December,,,,unknown,Non-Infrastructure
C. Provision of loan assistance to Micro and Small Enterprises and Returning OFWs,OLEDIPO,Loan assistance provided to MSMEs and displaced OFWs,"20 loan aapplicants assessed
10 loan applicants processed",Iloilo,,Claims,Gen. Fund,2000000.0,January,December,,,,unknown,Non-Infrastructure
"D. Procurement of equipment, supplies, materials and other operational services for the Provincial Packaging and Labeling Center (PPLC)",OLEDIPO,Operationalization of the Provincial Packaging and Labeling Center (PPLC),"All supplies, materials and other operational services for the Provincial Packaging and Labeling Center (PPLC) procured",Iloilo,,NP SV,Gen. Fund,300000.0,January,December,,,,unknown,Non-Infrastructure
"E. Acquisition of tools, machinery and other shared service equipment to support and enhance enterprise enterprise operations as well as other related activities of groups and associations assisted by the center including but not limited to food processing equipment, handicraft making tools, handloom, module fabrication, purchase of inventory and similar resources",OLEDIPO,Acquisition of tools for distribution to assisted community-based livelihood enterprises,"All equipment, supplies, materials procured",Iloilo,,NP SV,Others,300000.0,March,December,,,,unknown,Non-Infrastructure
F. Implementation of the Startup Development Program,OLEDIPO,"Provision of financial and technical support to startups and accelerators, and activities to promote startup development among LGUs to foster innovation and entrepreneurship","Number of early-stage startups assisted
All startup support activities conducted",Iloilo,,NP SV,Others,650000.0,March,December,,,,unknown,Non-Infrastructure
"G. Procurement of technical assistance, capacity development activities, and operational services for Iloilo Micro, Small, and Medium Development (MSMED) Council",OLEDIPO,Functional PMSMED Council,"No. of partnership meetings, technical assistance and capacity development activities conducted and attended",,,,,200000.0,June,December,,,,unknown,Non-Infrastructure
"INVESTMENT PROMOTION, GENERATION AND SERVICING",OLEDIPO,, , ,,,,, , ,,,,unknown,Non-Infrastructure
"A. ProvIsion of capacity building assistance to LGUs and partners and partners and other similar activities related to investment promotion, generation and servicing",OLEDIPO,Conduct of investment promotion related capacity building assistance to LGUs and partners,"2 investment promotion related activities conducted

5 partnership meetings conducted",Iloilo,,NP SV,Gen. Fund,200000.0,January,December,,,,unknown,Infrastructure
B. Updating of the economic database and reproduction of promotional collaterals and publication in social media platforms,OLEDIPO,Updating and reproduction of the economic database and preparation of pubmats and publication in social media,"2 promo materials updated and reproduced

2 social media maintained

",Iloilo,,NP SV,Gen. Fund,200000.0,January,December,,,,unknown,Non-Infrastructure
C. Participation in local and national LGU awards and recognition i.e. CMCI LGU  2024 PCCI Search for the Most Business Friendly and Competitive LGUs,OLEDIPO,Preparation and submission of entry to PCCI Search for the Most Business Friendly LGU Award,"1 entry to PCCI-Most Business Friendly LGU award; 
bidbook prepared and submitted ",Iloilo,,NP SV,Gen. Fund,,January,December,,,,unknown,Non-Infrastructure
"D. Conduct and/or participation to local and national investment promotion activities such as investment forum, expositions, roadshows, business matching and similar activities to promote the province as an investment destination",OLEDIPO,Investment promotion activities conducted and or participated in,"3 investment promotion and similar activities conducted and/or participated in
",Iloilo,,NP SV,Gen. Fund,1225000.0,March,December,,,"Charge to office of the Governor
1,225,000 display modules (continuing)",other,Infrastructure
MANAGEMENT AND OPERATIONS,OLEDIPO,, , ,,,,, , ,,,,unknown,Non-Infrastructure
